year;id;title;total value;fot value;transport value;rent value;gph value;events value;royalties value;total share;fot share;transport share;rent share;gph share;events share;royalties share;total avgShare;fot avgShare;transport avgShare;rent avgShare;gph avgShare;events avgShare;royalties avgShare
2024;7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";126 476 868,05 ;104 543 629,04 ;0,00 ;2 879 403,82 ;261 495,00 ;2 713 145,07 ;0,00 ;1,000;0,827;0,000;0,023;0,002;0,021;0,000;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7701199901;"ГБУК г. Москвы ""Театр марионеток""";29 018 176,10 ;15 707 195,18 ;250 165,54 ;187 557,50 ;3 049 870,13 ;0,00 ;2 274 267,33 ;1,000;0,541;0,009;0,006;0,105;0,000;0,078;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";421 240 525,18 ;250 606 661,38 ;3 188 919,56 ;500 635,62 ;3 555 079,69 ;0,00 ;41 986 771,62 ;1,000;0,595;0,008;0,001;0,008;0,000;0,100;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";207 427 844,72 ;63 336 215,23 ;2 761 568,28 ;268 900,00 ;38 226 220,86 ;0,00 ;5 708 264,22 ;1,000;0,305;0,013;0,001;0,184;0,000;0,028;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7701045549;"ГБУК г. Москвы ""Театр на Покровке""";34 772 007,82 ;17 790 162,25 ;107 397,00 ;66 267,00 ;161 338,50 ;0,00 ;1 471 229,40 ;1,000;0,512;0,003;0,002;0,005;0,000;0,042;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7707064139;"ГБУК г. Москвы ""Театр на Трубной""";176 345 126,51 ;81 583 674,49 ;1 291 700,00 ;935 486,00 ;23 640 700,20 ;0,00 ;21 164 145,61 ;1,000;0,463;0,007;0,005;0,134;0,000;0,120;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7729217597;"ГБУК г. Москвы ""Театр на Юго-Западе""";105 587 936,74 ;73 255 313,38 ;482 603,74 ;0,00 ;2 991 906,00 ;300 000,00 ;9 859 726,86 ;1,000;0,694;0,005;0,000;0,028;0,003;0,093;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7701117909;"ГБУК г. Москвы ""Театр Олега Табакова""";536 491 498,55 ;310 224 563,18 ;6 735 526,60 ;10 414 729,99 ;31 373 502,36 ;166 667,00 ;42 152 153,61 ;1,000;0,578;0,013;0,019;0,058;0,000;0,079;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7723316672;"ГБУК г. Москвы ""Театр Стаса Намина""";74 640 993,20 ;30 239 281,50 ;27 378,00 ;64 000,00 ;3 144 889,47 ;0,00 ;3 978 597,15 ;1,000;0,405;0,000;0,001;0,042;0,000;0,053;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7725054895;"ГБУК г. Москвы ""Театр Терезы Дуровой""";393 926 630,91 ;152 614 598,67 ;561 500,00 ;46 368 842,63 ;1 331 649,60 ;29 672 482,00 ;39 980 658,09 ;1,000;0,387;0,001;0,118;0,003;0,075;0,101;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7707085202;"ГБУК г. Москвы ""Театр Эрмитаж""";152 350 510,69 ;85 941 918,59 ;2 209 378,01 ;359 198,00 ;4 202 011,84 ;0,00 ;14 101 127,73 ;1,000;0,564;0,015;0,002;0,028;0,000;0,093;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7730116466;"ГБУК г. Москвы ""ФЦ ""Москва""";78 005 199,67 ;31 847 866,39 ;713 963,69 ;2 241 734,77 ;7 670 983,70 ;3 744 097,00 ;5 565 082,14 ;1,000;0,408;0,009;0,029;0,098;0,048;0,071;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7722284474;"ГБУК г. Москвы ""Центр драматургии и режиссуры""";24 275 826,08 ;8 427 931,97 ;754 612,50 ;464 228,00 ;6 674 575,39 ;0,00 ;1 700 821,03 ;1,000;0,347;0,031;0,019;0,275;0,000;0,070;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7704198381;"ГБУК г. Москвы ""Центр исполнительских искусств на Добрынинской""";32 574 525,54 ;12 144 121,92 ;37 528,32 ;0,00 ;3 208 252,70 ;0,00 ;4 868 800,00 ;1,000;0,373;0,001;0,000;0,098;0,000;0,149;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7714035227;"ГБУК г. Москвы ""Цыганский театр ""Ромэн""";42 313 294,71 ;24 251 728,30 ;336 671,00 ;0,00 ;601 550,00 ;0,00 ;3 756 409,52 ;1,000;0,573;0,008;0,000;0,014;0,000;0,089;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7702619852;"ГБУК г. Москвы ""Школа драматического искусства""";47 233 757,35 ;11 317 250,69 ;2 918 062,40 ;16 137,15 ;3 812 955,70 ;0,00 ;1 895 781,58 ;1,000;0,240;0,062;0,000;0,081;0,000;0,040;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7704224472;"ГБУК г. Москвы ДДТ ""На набережной""";3 788 899,95 ;728 232,61 ;0,00 ;0,00 ;686 465,00 ;0,00 ;0,00 ;1,000;0,192;0,000;0,000;0,181;0,000;0,000;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7728039292;"ГБУК г. Москвы МДТ ""Бенефис""";5 601 630,18 ;3 064 459,02 ;0,00 ;0,00 ;480 099,13 ;0,00 ;1 003 141,20 ;1,000;0,547;0,000;0,000;0,086;0,000;0,179;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7735026248;"ГБУК г.Москвы ""Ведогонь-театр""";61 511 425,90 ;28 352 880,96 ;566 037,00 ;3 339 780,00 ;1 866 194,93 ;5 385 748,68 ;2 992 232,78 ;1,000;0,461;0,009;0,054;0,030;0,088;0,049;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7701258410;"ГБУК г.Москвы ""Московский музыкальный театр ""На Басманной""";13 469 268,52 ;3 978 656,48 ;297 605,50 ;257 520,49 ;936 038,00 ;0,00 ;700 554,50 ;1,000;0,295;0,022;0,019;0,069;0,000;0,052;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7703002886;"ГБУК г.Москвы ""Московский театр ""Мастерская П.Н. Фоменко""";641 106 500,75 ;432 829 269,31 ;3 620 541,31 ;4 480 942,32 ;5 370 300,00 ;0,00 ;36 740 507,35 ;1,000;0,675;0,006;0,007;0,008;0,000;0,057;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7708107804;"ГБУК г.Москвы ""МТДК ""Волшебная лампа""";10 308 364,60 ;6 471 006,87 ;0,00 ;0,00 ;0,00 ;0,00 ;2 683 609,85 ;1,000;0,628;0,000;0,000;0,000;0,000;0,260;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7710040730;"ГБУК г.Москвы ""Театр им. Моссовета""";536 546 677,75 ;284 130 771,89 ;4 533 483,18 ;1 149 500,00 ;37 315 602,35 ;0,00 ;59 476 074,60 ;1,000;0,530;0,008;0,002;0,070;0,000;0,111;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7702078561;"ГБУК г.Москвы ""Театр Музыки и Поэзии п/р Е.Камбуровой""";37 935 922,72 ;16 752 651,39 ;9 700,10 ;42 785,00 ;11 528 252,73 ;0,00 ;0,00 ;1,000;0,442;0,000;0,001;0,304;0,000;0,000;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
2024;7704249283;"ГБУК МТ ""Новая Опера"" им. Е.В.Колобова";215 603 548,59 ;44 266 314,05 ;5 187 456,23 ;13 508 148,17 ;18 835 158,32 ;2 499 780,00 ;4 025 561,89 ;1,000;0,205;0,024;0,063;0,087;0,012;0,019;1;0,528814352;0,014706606;0,014402996;0,050214169;0,009433306;0,09492099
