ID_театра;Название;venue_space_short_name_address;id;venue_space_short_name;Округ;Район;MapsLink;ЖАНР;Ближайшая станция метро;Удаленность от метро в минутах;наличие кафе при театре;наличие буфета при театре;наличие сувенирного магазина при театре;;;
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";г. Москва, Спартаковская пл. 9/1;67;Зал Премьер (большой зал);ЦАО;Басманный;https://yandex.ru/maps/-/CLEljA~w;Драма;Бауманская;10;Нет;Да;Нет;;;
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";г. Москва, Тверской бульвар, д.23, стр. 1;96;Основная сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEluEPY;драма;Тверская;7;Нет;Да;Да;;;
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";г. Москва, Сытинский пер., д.3/25;94;Филиал театра;ЦАО;Пресненский;https://yandex.ru/maps/-/CHsbAKpn;Драма;Пушкинская;4;Нет;Да;Да;;;
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";г. Москва, ул. Тверская, дом 23, стр. 3;34;Малая сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLEljTzA;Драма;Тверская;4;Нет;Да;Нет;;;
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";г. Москва, ул. Тверская, дом 23, стр. 1;35;Основная сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLElvHm5;Драма;Тверская;4;Нет;Да;Нет;;;
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";г. Москва, ул. Казакова, д. 8;59;Малый зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEl7Izi;Драма театр;Курская;5;Нет;Да;Нет;;;
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";г. Москва, ул. Казакова, д. 8;60;Основной зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEl7Izi;Драма театр;Курская;5;Нет;Да;Нет;;;
7719013636;"ГБУК г. Москвы ""МДТТ""";г.Москва, Измайловский бульвар, 60/10;147;Основной зал;ВАО;Восточное Измайлово;https://yandex.ru/maps/-/CLEpA4Pf;Детский, театр теней;Первомайская;10;Нет;Да;Да;;;
7719013636;"ГБУК г. Москвы ""МДТТ""";г. Москва, Октябрьская, д. 5;145;"Сцена ""Тень"", Лиликанский театр";СВАО;Марьина роща;https://yandex.ru/maps/-/CLEpEQnb;Детский, театр теней;Достоевская;7;Нет;Да;Да;;;
7719013636;"ГБУК г. Москвы ""МДТТ""";г. Москва, Октябрьская, д. 5;144;"Сцена ""Тень"", Основной зал";СВАО;Марьина роща;https://yandex.ru/maps/-/CLEpEQnb;Детский, театр теней;Достоевская;7;Нет;Да;Да;;;
7719013636;"ГБУК г. Москвы ""МДТТ""";г. Москва, Измайловский бульвар, 60/10;146;Фойе;ВАО;Восточное Измайлово;https://yandex.ru/maps/-/CLEpA4Pf;Детский, театр теней;Первомайская;10;Нет;Да;Да;;;
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";г. Москва, ул. Большая Никитская, д. 19/16 стр.1;51;Белоколонный зал княгини Шаховской;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpINJe;Мюзикл;Арбатская;9;Нет;Да;Да;;;
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";г. Москва, ул. Большая Никитская, д. 19/16 стр.1;41;"Зал ""Покровский""";ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpINJe;Мюзикл;Арбатская;9;Нет;Да;Да;;;
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";г. Москва, ул. Большая Никитская, д. 19/16 стр.1;62;"Зал ""Стравинский""";ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpINJe;Мюзикл;Арбатская;9;Нет;Да;Да;;;
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";г. Москва, ул. Руставели, д. 19;75;Основной зал;СВАО;Бутырский;https://yandex.ru/maps/-/CLEpMM6V;Драма;Бутырская;3;Нет;Нет;Нет;;;
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";г. Москва, ул. Большая Никитская, д. 19/13, стр.1;98;Малая сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpMG94;Драма ;Арбатская;10;Да;Да;Да;;;
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";г. Москва, ул. Большая Никитская, д. 19/13, стр.1;99;Основная сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpMG94;Драма ;Арбатская;10;Да;Да;Да;;;
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";г. Москва, ул. Большая Никитская, д. 19/13, стр.1;5;Сцена Маяк;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpMG94;Драма ;Арбатская;10;Да;Да;Да;;;
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";г. Москва, Пушкарев пер., д. 21/24;97;Сцена на Сретенке;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpQK4m;Драма ;Сухаревская;6;Да;Да;Да;;;
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";г. Москва, ул. Кооперативная, д. 4, стр. 15.;127;Детская сцена;ЦАО;Хамовники;https://yandex.ru/maps/-/CLEpUP~s;Драма;Павелецкая;10;Нет;Да;Нет;;;
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";г. Москва, Триумфальная пл., д. 2, стр. 1;19;Основная сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpYM6I;Драма;Маяковская;1;Нет;Да;Нет;;;
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";г. Москва, Ломоносовский пр-т, д. 17;138;Прогресс сцена;ЮЗАО;Гагаринский;https://yandex.ru/maps/-/CLEpY85q;Драма;Университет;7;Нет;Да;Нет;;;
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";г. Москва, Триумфальная пл., д. 2, стр. 1;149;Чердак сатиры;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpYM6I;Драма;Маяковская;1;Нет;Да;Нет;;;
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";г. Москва, ул. Малая Дмитровка, д. 6;100;Основной зал;ЦАО;Тверской;https://yandex.ru/maps/-/CLEp40jt;Драма театр;Тверская;5;Да;Да;Нет;;;
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";г. Москва, ул. Радио, дом 2, стр 2.;124;Драматическая сцена на ул. Радио;ЦАО;Басманный;https://yandex.ru/maps/-/CLEpaY8l;Детский, Мюзикл, Драма ;Курская;20;Нет;Да;Нет;;;
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";г. Москва, ул. 1-я Новокузьминская , д. 1.;125;Малая сцена на 1-й Новокузьминской;ЮВАО;Рязанский;https://yandex.ru/maps/-/CLEpaXzr;Детский, Мюзикл, Драма ;Окская ;3;Нет;Да;Нет;;;
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";г. Москва, ул. 1-я Новокузьминская , д. 1.;126;Основная сцена на 1-й Новокузьминской;ЮВАО;Рязанский;https://yandex.ru/maps/-/CLEpaXzr;Детский, Мюзикл, Драма ;Окская ;3;Нет;Да;Нет;;;
7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";г. Москва, Скатертный пер. д. 23 стр. 3;22;Основная сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpeHPp;Драма;Арбатская;15;Нет;Нет;Нет;;;
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";г. Москва, Фролов переулок, 2;70;Большой зал;ЦАО;Красносельский;https://yandex.ru/maps/-/CLEpiUNY;Драма;Тургеневская;1;Да;Да;Да;;;
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";г. Москва, Фролов переулок, 2;69;Малый зал;ЦАО;Красносельский;https://yandex.ru/maps/-/CLEpiUNY;Драма;Тургеневская;1;Да;Да;Да;;;
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";г. Москва, ул. Мясницкая д. 23;68;Эфросовский зал;ЦАО;Красносельский;https://yandex.ru/maps/-/CLEpiTLN;Драма;Тургеневская;1;Да;Да;Да;;;
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";г. Москва, ул. Лазо, д. 3;121;Основная сцена;ВАО;Перово;https://yandex.ru/maps/-/CLEpmZJA;Мюзикл, драма;Перово;10;Нет;Да;Нет;;;
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";г. Москва, ул. Перовская, д. 75;120;Сцена на Перовской;ВАО;Новогиреево;https://yandex.ru/maps/-/CLEpmTK~;Мюзикл, драма;Новогиреево;10;Нет;Да;Нет;;;
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";г. Москва, Спартаковская ул., 26/30;10;Большой зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEpyG~I;Театр кукол;Бауманская;2;Нет;Да;Нет;;;
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";г. Москва, ул. Бажова, 9;148;Камерная сцена;СВАО;Ростокино;https://yandex.ru/maps/-/CLEpyHNk;Театр кукол;Ростокино;9;Нет;Да;Нет;;;
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";г. Москва, Спартаковская ул., 26/30;9;Малый зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEpyG~I;Театр кукол;Бауманская;2;Нет;Да;Нет;;;
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";г. Москва, Пестовский пер, д. 2;101;Основной зал;ЦАО;Таганский;https://yandex.ru/maps/-/CLEp5BNk;Театр кукол;Таганская;6;Нет;Да;Нет;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";"г. Москва, ул. Земляной Вал,
  д. 76/21 стр.1 (Театр на Таганке)";80;Малая сцена;ЦАО;Таганский;https://yandex.ru/maps/-/CLEpFEJ2;Драма;Таганская;2;Да;Да;Нет;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";"г. Москва, ул. Земляной Вал,
  д. 76/21 стр.1 (Содружество актер. Таганки)";79;Новая сцена;ЦАО;Таганский;https://yandex.ru/maps/-/CLEpB6ZR;Драма;Таганская;2;Да;Да;Нет;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";"г. Москва, ул. Земляной Вал,
  д. 76/21 стр.1 (Театр на Таганке)";81;Основная сцена;ЦАО;Таганский;https://yandex.ru/maps/-/CLEpB6ZR;Драма;Таганская;2;Да;Да;Нет;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";г. Москва, ул. Александра Солженицына д. 17 стр. 5 (Апарте - основная сцена) а также филиал на 33 места;78;Сцена на Факельном;ЦАО;Таганский;https://yandex.ru/maps/-/CLEpFXKt;Драма;Марксистская;10;Да;Да;Нет;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";г. Москва, ул. Александра Солженицына д. 17 стр. 5 (Апарте - основная сцена), также филиал на 33 места;8;Филиал;ЦАО;Таганский;https://yandex.ru/maps/-/CLEpFXKt;Драма;Марксистская;10;Да;Да;Нет;;;
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";г. Москва, Вознесенский переулок, д.9, стр.6;31;Малая сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpNL~a;Драма;Охотный ряд;12;Нет;Да;Нет;;;
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";г. Москва, Вознесенский переулок, д.9, стр.3;32;Новая сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpNL~a;Драма;Охотный ряд;12;Нет;Да;Нет;;;
7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";г. Москва, Берсеневская наб., д. 20/2;102;Большой зал;ЦАО;Якиманка;https://yandex.ru/maps/-/CLEpRHMl;Драма;Боровицкая;9;Нет;Да;Нет;;;
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";г. Москва, ул. Большая Никитская, д.23/14/9;49;Новая сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpVO0A;Драма ;Арбатская;8;Нет;Да;Нет;;;
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";г. Москва, ул. Большая Никитская, д.23/14/9;48;Старая сцена;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpVO0A;Драма ;Арбатская;8;Нет;Да;Нет;;;
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";г. Москва Малая Сухаревская площадь 10;54;Большой зал;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpZC5F;Драма театр;Сухаревская;2;Нет;Да;Нет;;;
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";г. Москва Малая Сухаревская площадь 10;53;Малый зал;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpZC5F;Драма театр;Сухаревская;2;Нет;Да;Нет;;;
7710130279;"ГБУК г. Москвы ""МТЮЗ""";г. Москва, Мамоновский пер. д. 8 стр.1;88;Игры во флигеле (малый зал);ЦАО;Тверской;https://yandex.ru/maps/-/CLEp6ANK;Драма, детский, Мюзикл ;Пушкинская ;5;Нет;Да;Нет;;;
7710130279;"ГБУК г. Москвы ""МТЮЗ""";г. Москва, ул. Прохладная д. 28;87;Основная сцена;ЮАО;Бирюлево Восточное;https://yandex.ru/maps/-/CLEp6D71;Драма, детский, Мюзикл ;Царицыно;7;Нет;Да;Нет;;;
7710130279;"ГБУК г. Москвы ""МТЮЗ""";г. Москва, Мамоновский пер. д. 10 стр.1;89;Основная сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpbSY1;Драма, детский, Мюзикл ;Пушкинская ;4;Нет;Да;Нет;;;
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";г. Москва, ул. Проходчиков дом 2;40;Основная сцена;СВАО;Ярославский;https://yandex.ru/maps/-/CLEpbT98;Драма;Бабушкинская;67;Нет;Да;Нет;;;
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";г. Москва, ул. Проходчиков дом 2;39;Сцена Мастерская;СВАО;Ярославский;https://yandex.ru/maps/-/CLEpbT98;Драма;Бабушкинская;67;Нет;Да;Нет;;;
7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";г. Москва. Ул. Большая Татарская, дом 29;21;Основная сцена;ЦАО;Замоскворечье;https://yandex.ru/maps/-/CLEpfG~z;Драма;Новокузнецкая;7;Нет;Нет;Нет;;;
7710593781;"ГБУК г. Москвы ""Театр ""Практика""";г. Москва, Трехпрудный переулок, д 11/13, стр. 1;111;Малый зал;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpjU2t;#N/A;Маяковская;7;#N/A;#N/A;#N/A;;;
7710593781;"ГБУК г. Москвы ""Театр ""Практика""";г. Москва, Трехпрудный переулок, д 11/13, стр. 1;112;Основной зал;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEpjU2t;#N/A;Маяковская;7;#N/A;#N/A;#N/A;;;
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";г. Москва, ул. Дурова, д. 4, корп. 2;118;Большая сцена;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpj0Jr;Детский;Достоевская;8;Нет;Да;Нет;;;
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";г. Москва, ул. Дурова, д. 4, стр. 2;116;Мышиная железная дорога;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpj0Jr;Детский;Достоевская;8;Нет;Да;Нет;;;
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";г. Москва, ул. Дурова, д. 2, стр. 3;119;Новая сцена;ЦАО;Мещанский;https://yandex.ru/maps/-/CLEpj0Jr;Детский;Достоевская;8;Нет;Да;Нет;;;
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";г. Москва, ул. Новослободская, д. 23;28;Большой зал;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpr-iW;Драма;Менделеевская;1;Нет;Да;Да;;;
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";г. Москва, ул. Новослободская, д. 23;3;Зелёное фойе;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpr-iW;Драма;Менделеевская;1;Нет;Да;Да;;;
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";г. Москва, ул. Новослободская, д. 23;27;Малый зал;ЦАО;Тверской;https://yandex.ru/maps/-/CLEpr-iW;Драма;Менделеевская;1;Нет;Да;Да;;;
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";г. Москва, Варшавское шоссе, 71, к. 1.;29;Сцена на Варшавке;ЮАО;Нагорный;https://yandex.ru/maps/-/CLEpvTOA;Драма;Варшавская;11;Нет;Да;Да;;;
7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";г. Москва, Кутузовский пр-кт, д. 25;115;Основной;ЗАО;Дорогомилово;https://yandex.ru/maps/-/CLEpzNMG;#N/A;Студенческая;9;#N/A;#N/A;#N/A;;;
7701199901;"ГБУК г. Москвы ""Театр марионеток""";г. Москва, ул. Абельмановская, д. 17 А;143;Большой зал (Синий зал);ЦАО;Таганский;https://yandex.ru/maps/-/CLEpzDZa;Детский;Пролетарская;4;Да;Да;Нет;;;
7701199901;"ГБУК г. Москвы ""Театр марионеток""";г. Москва, ул. Абельмановская, д. 17 А;142;Малый зал (Театральное кафе);ЦАО;Таганский;https://yandex.ru/maps/-/CLEpzDZa;Детский;Пролетарская;4;Да;Да;Нет;;;
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";г. Москва, ул.Малая Бронная, 4;18;Большой зал;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEp7Wz3;Драма;Тверская;10;Нет;Да;Нет;;;
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";г. Москва, ул.Малая Бронная, 4;17;Малый зал;ЦАО;Пресненский;https://yandex.ru/maps/-/CLEp7Wz3;Драма;Тверская;10;Нет;Да;Нет;;;
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";г. Москва, ул. Стромынка, д. 6;61;Основной зал;ВАО;Сокольники;https://yandex.ru/maps/-/CLEtIYZC;Драма;Сокольники;7;Нет;Да;Нет;;;
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";г. Москва ул. Малая Ордынка 31, стр.1;72;Малая сцена;ЦАО;Замоскворечье;https://yandex.ru/maps/-/CLEtICjY;#N/A;Добрынинская;8;#N/A;#N/A;#N/A;;;
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";г. Москва ул. Малая Ордынка 31, стр.1;74;Основная сцена;ЦАО;Замоскворечье;https://yandex.ru/maps/-/CLEtICjY;#N/A;Добрынинская;8;#N/A;#N/A;#N/A;;;
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";г. Москва ул. Малая Ордынка 33, стр.1;71;"Сцена ""Маленькая Луна""";ЦАО;Замоскворечье;https://yandex.ru/maps/-/CLEtILIj;#N/A;Добрынинская;8;#N/A;#N/A;#N/A;;;
7701045549;"ГБУК г. Москвы ""Театр на Покровке""";г. Москва, ул. Покровка, д.50/2, стр.1;23;Зрительный зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEtME5~;Драма;Курская;9;Нет;Да;Нет;;;
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";г. Москва, ул. Неглинная, д. 29, стр. 1;56;"""Белый зал""";ЦАО;Тверской;https://yandex.ru/maps/-/CLEtMKiF;Драма;Трубная ;2;Да;Да;Нет;;;
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";г. Москва, ул. Неглинная, д. 29, стр. 1;57;"""Зимний сад""";ЦАО;Тверской;https://yandex.ru/maps/-/CLEtMKiF;Драма;Трубная ;2;Да;Да;Нет;;;
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";г. Москва, ул. Неглинная, д. 29, стр. 1;55;"""Фойе""";ЦАО;Тверской;https://yandex.ru/maps/-/CLEtMKiF;Драма;Трубная ;2;Да;Да;Нет;;;
