year;id;title;total value;property value;tickets value;advertising value;touring value;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare;
2025;7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";359 765 779,63 ;20 889 471,11 ;328 155 266,73 ;0,00 ;8 204 000,00 ;0,894933435;0,051963492;0,816300873;0;0,020407816;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";54 414 656,20 ;0,00 ;54 542 255,20 ;0,00 ;0,00 ;0,135358886;0;0,135676294;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";3 634 502,80 ;110 000,00 ;3 503 502,80 ;0,00 ;0,00 ;0,009040988;0,00027363;0,00871512;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";134 305 051,98 ;9 796 837,64 ;76 397 521,00 ;0,00 ;3 585 250,00 ;0,334089812;0,024370071;0,190042244;0;0,008918469;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";40 095 825,66 ;601 505,00 ;37 750 940,84 ;0,00 ;1 125 000,00 ;0,099740156;0,001496271;0,09390715;0;0,002798488;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701109200;"ГБУК г. Москвы ""Московский театр кукол""";74 541 087,37 ;454 491,87 ;73 716 023,00 ;0,00 ;0,00 ;0,185424282;0,001130569;0,183371898;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";204 411 200,12 ;26 878 303,98 ;183 639 712,17 ;0,00 ;1 521 000,00 ;0,508481984;0,066860981;0,456811981;0;0,003783555;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";18 467 633,40 ;62 370,00 ;18 285 117,40 ;0,00 ;130 000,00 ;0,045939062;0,000155148;0,045485046;0;0,000323381;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";114 524 737,02 ;76 328 832,00 ;0,00 ;0,00 ;0,00 ;0,284885395;0,189871377;0;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";52 050 224,33 ;0,00 ;42 347 144,16 ;0,00 ;0,00 ;0,129477256;0;0,105340411;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";38 445 735,21 ;4 579 797,35 ;32 889 280,00 ;0,00 ;0,00 ;0,095635482;0,01139245;0,081813552;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710130279;"ГБУК г. Москвы ""МТЮЗ""";170 117 935,74 ;3 372 456,77 ;156 382 160,20 ;0,00 ;7 255 600,00 ;0,423175958;0,008389137;0,389007604;0;0,018048629;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7716028803;"ГБУК г. Москвы ""Новый драматический театр""";30 140 330,76 ;912 274,51 ;26 544 739,97 ;0,00 ;959 050,00 ;0,074975418;0,002269324;0,066031226;0;0,00238568;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";5 894 185,60 ;0,00 ;5 352 194,00 ;0,00 ;0,00 ;0,01466205;0;0,013313821;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710593781;"ГБУК г. Москвы ""Театр ""Практика""";59 130 739,29 ;267 496,68 ;42 353 071,60 ;0,00 ;3 422 190,00 ;0,147090353;0,00066541;0,105355156;0;0,00851285;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";88 145 206,47 ;1 888 448,34 ;86 273 550,00 ;0,00 ;0,00 ;0,219265135;0,0046976;0,214609306;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";91 194 531,61 ;4 999 859,47 ;58 928 150,00 ;7 000 000,00 ;1 478 773,40 ;0,226850468;0,012437374;0,146586403;0,017412812;0,003678515;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";67 118 338,41 ;0,00 ;63 453 119,00 ;0,00 ;1 420 000,00 ;0,166959863;0;0,157842466;0;0,003532313;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701199901;"ГБУК г. Москвы ""Театр марионеток""";18 835 142,34 ;32 178,00 ;18 758 208,50 ;0,00 ;0,00 ;0,046853257;8,00442E-05;0,046661881;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";341 373 706,99 ;8 807 620,95 ;333 637 045,80 ;0,00 ;0,00 ;0,849182333;0,02190935;0,829937043;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";124 497 735,40 ;5 526 272,00 ;67 953 843,55 ;0,00 ;4 618 696,00 ;0,309693674;0,013746848;0,169038219;0;0,011489212;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701045549;"ГБУК г. Москвы ""Театр на Покровке""";13 637 462,00 ;0,00 ;13 019 066,00 ;0,00 ;0,00 ;0,033923795;0;0,032385508;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707064139;"ГБУК г. Москвы ""Театр на Трубной""";126 275 859,84 ;4 014 937,62 ;113 769 873,56 ;0,00 ;0,00 ;0,314116838;0,009987337;0,283007639;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7729217597;"ГБУК г. Москвы ""Театр на Юго-Западе""";67 839 483,60 ;750 000,00 ;61 768 695,00 ;0,00 ;5 007 012,64 ;0,168753743;0,001865658;0,153652386;0;0,012455167;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701117909;"ГБУК г. Москвы ""Театр Олега Табакова""";256 662 660,84 ;966 107,00 ;215 039 065,37 ;20 490 000,00 ;8 275 000,00 ;0,638459825;0,002403234;0,534919273;0,05096979;0,020584432;1;0,053348558;0,819731678;0,004586716;0,026350679;
