ID_театра;Название премьеры;Площадка;Дата начала;Дата окончания;Ссылка на премьеру
7707085202;Интервью с душой;Малая сцена;30.01.2025;31.01.2025;https://ermistage.nakaretnom3.ru/performances/intervyu-s-dushoy/
7701127897;Цветы для Элджернона. 30 лет спустя;зал премьер;24.10.2025;25.10.2025;https://www.modern-theatre.ru/repertuar/cvety-dlya-eldzhernona-30-let-spustya.html
7701117909;В списках не значился;сцена на Чистых прудах;04.09.2025;05.09.2025;https://tabakov.ru/performances/v-spiskakh-ne-znachilsya/
7704132084;Вишневый сад;Большая сцена;11.09.2025;12.09.2025;https://vishnevii-sad.ru/repertuar/vishnevyi-sad
7704132084;Отцы и дети;Большая сцена;08.10.2025;09.10.2025;https://vishnevii-sad.ru/repertuar/otcy-i-deti
7735026248;Беда от нежного сердца;Большая сцена;12.09.2025;13.09.2025;https://vedogon.ru/beda_ot_nejnogo_serdza
7735026248;Убийство и прочие неприятности;Большая сцена;25.09.2025;26.09.2025;https://vedogon.ru/ubiystvo_i_prochie_nepriyatnosti
7730519779;Коты спасают мир;Основная сцена;16.11.2025;17.11.2025;https://kuklachev.ru/shows/view/64431995
7709018353;Преступление и наказание;Основная сцена;27.02.2025;28.02.2025;https://teatrgogolya.ru/performances/spektakli_55.html
7709018353;Старший сын;Основная сцена;22.01.2025;23.01.2025;https://teatrgogolya.ru/performances/spektakli_57.html
7709018353;Век на сцене;Основная сцена;23.04.2025;24.04.2025;https://teatrgogolya.ru/performances/spektakli_60.html
7729217597;Последняя женщина сеньора Хуана;Основная сцена;12.09.2025;13.09.2025;https://teatr-uz.ru/poslednyaya-zhenshhina-senora-huana
7729217597;Мы+: Тайна зелёного сундука;Основная сцена;18.09.2025;19.09.2025;https://teatr-uz.ru/tajna-zelyonogo-sunduka
7703093185;По ком звонит колокол;Новая сцена;16.04.2025;17.04.2025;https://teatrunikitskihvorot.ru/play/po-kom-zvonit-kolokol/
7703093185;Всегда ты будешь;старая сцена;20.04.2025;21.04.2025;https://teatrunikitskihvorot.ru/play/vsegda-ti-budesh/
7703093185;Узнаете;старая сцена;14.02.2025;15.02.2025;https://teatrunikitskihvorot.ru/play/uznaete/
7714035227;Цыганская ночь;Малая сцена;13.09.2025;14.09.2025;https://teatr-romen.ru/cyganskayanoch/
7714035227;Цыганский рай;Основная сцена;16.09.2025;17.09.2025;https://teatr-romen.ru/cyganskij-raj/
7714035227;Подкова счастья;Основная сцена;17.09.2025;18.09.2025;https://teatr-romen.ru/podkova-schastja/
7720056169;На всякого мудреца довольно простоты;Сцена на перовской;16.10.2025;17.10.2025;https://teatrmagic.ru/performances/mudrec/
7716028803;Маленький человек;сцена мастерская;26.09.2025;27.09.2025;https://newteatr.ru/performance/malenkij-chelovek/
7715049230;Капитано Немо;Основная сцена;10.09.2025;11.09.2025;https://www.spesivcev.ru/spektakli/1112.html
7723316672;Цветы. Рок-н-ролл жив;театральный зал;15.10.2025;16.10.2025;https://stasnamintheatre.ru/performance/vlast-cvetov/
7704198381;Михаил Озеров. Жизнь среди людей;Основная сцена;03.10.2025;04.10.2025;https://xn--h1aa4b.xn--80adxhks/events/mihail-ozerov-zhizn-sredi-lyudey
7710042865;Мастер и Маргарита;Основная сцена;26.09.2025;27.09.2025;https://vstudio.ru/master-i-margarita/ 
7701199901;Три веселых поросенка или как подружиться с Волком;Основная сцена;05.09.2025;06.09.2025;https://marionetki.ru/repertuar/4-tri-veselykh-porosenka-ili-kak-podruzhitsya-s-volkom
7701258410;Снежная королева;зал управы Басманного района;27.06.2025;28.06.2025;https://mteatr.ru/snezhnaya-koroleva
7702619852;Зависть;зал манеж;28.03.2025;29.03.2025;https://sdart.ru/project/zavist/
7702619852;Таська;зал глобус;27.06.2025;28.06.2025;https://sdart.ru/project/taska/
7702619852;Строитель Сольнес;зал манеж;29.09.2025;30.09.2025;https://sdart.ru/project/stroitel-solnes/
7710593781;Вещи и ущи;Основная сцена;03.04.2025;04.04.2025;https://praktikatheatre.ru/events/uschi
7716149741;Василий Тёркин;Основная сцена;16.10.2025;17.10.2025;https://etnoteatr.ru/shows/41
7726073570;Натан Мудрый;Большая сцена на Новослободской;12.09.2025;13.09.2025;https://shalom-theatre.ru/spektakli/Nathan/
7726073570;Лисистрата;Большая сцена на Новослободской;13.06.2025;14.06.2025;https://shalom-theatre.ru/spektakli/%D0%9B%D0%B8%D1%81%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B0/
7719013636;Всё, что вы хотели знать о ящерицах, но стеснялись спросить;Основная сцена;24.05.2025;25.05.2025;https://teniteatr.ru/spektakli/6/yasherici/
7701045549;Одна ночь;Основная сцена;23.04.2025;24.04.2025;https://napokrovke.ru/index.php/spektakli/660-odna-noch1473
7701045549;хи-ро-си-ма;Основная сцена;06.05.2025;07.05.2025;https://napokrovke.ru/index.php/spektakli/667-hi-ro-si-ma3570
7703068710;Гамлет;Основная сцена;20.09.2025;21.09.2025;https://www.okolo.ru/shows/gamlet/
7722284474;Жестокие игры;Основная сцена;04.09.2025;05.09.2025;https://teatrcdr.ru/spektakli/u2MATGWVawtAur_4Oc4Yj
7702078561;Мой клоун;Новая сцена;04.06.2025;05.06.2025;https://teakam.ru/playbill/preformance/moy-kloun/
7702078561;Петербург - Петроград - Ленинград -;Большой зал;29.12.2024;30.12.2024;https://teakam.ru/playbill/preformance/peterburg-petrograd-leningrad-/
7706089941;Обыкновенный концерт;Большой зал;13.12.2025;14.12.2025;https://teatr-estrada.ru/afisha/an_ordinary_concert
7709264045;Не рой другому яму, сам в неё попадёшь;Основная сцена;13.09.2025;14.09.2025;http://skazkateatr.ru/%d1%81%d0%bf%d0%b5%d0%ba%d1%82%d0%b0%d0%ba%d0%bb%d0%b8/
7702069567;За Други СВОя;Основная сцена;09.09.2025;10.09.2025;https://www.theatreglas.ru/repertoire/za-drugi-svoya/
7708107804;"""Царевич Ваня  на волке сером""";Основная сцена;14.12.2025;15.12.2025;
7728039292;В объятиях мечты;Основная сцена;27.09.2025;28.09.2025;https://mdtbenefis.ru/tickets/?show=v-obyatiyakh-mechty
7728039292;Судьба барабанщика;Основная сцена;11.09.2025;12.09.2025;https://mdtbenefis.ru/tickets/?show=sudba-barabanschika
7703014835;Детский дом;Основная сцена;13.11.2025;14.11.2025;
7701020760;Аленький цветочек;Основная сцена;05.12.2025;06.12.2025;
